===== FindStandartObjects Started at 11/16/2021 12:29:00 PM
{ ObjectIndex = 2806, Radius = 0.397923733893521 }
{ ObjectIndex = 3207, Radius = 0.404161656363962 }
{ ObjectIndex = 2216, Radius = 0.444128890887006 }
{ ObjectIndex = 3088, Radius = 0.487426383770299 }
{ ObjectIndex = 3327, Radius = 0.608483079300658 }
{ ObjectIndex = 3863, Radius = 1.22507884945806 }
{ ObjectIndex = 1598, Radius = 0.0698913055347624 }
{ ObjectIndex = 1597, Radius = 0.066820535384053 }
{ ObjectIndex = 5509, Radius = 0.0951393057804249 }
{ ObjectIndex = 7612, Radius = 0.0401514682763265 }
{ ObjectIndex = 7497, Radius = 0.0728328141207685 }
{ ObjectIndex = 7505, Radius = 0.0492658641136574 }
{ ObjectIndex = 13438, Radius = 0.0568969538397996 }
{ ObjectIndex = 271, Radius = 0.665433998384472 }
{ ObjectIndex = 430, Radius = 0.0617850697625388 }
{ ObjectIndex = 797, Radius = 0.0445868131526459 }
{ ObjectIndex = 1325, Radius = 0.0463618001049324 }
{ ObjectIndex = 1762, Radius = 0.0704123224264664 }
{ ObjectIndex = 1507, Radius = 0.106955176667654 }
{ ObjectIndex = 1910, Radius = 0.0530949762529276 }
{ ObjectIndex = 2001, Radius = 0.080878239142189 }
{ ObjectIndex = 2017, Radius = 0.0672067914574542 }
{ ObjectIndex = 2045, Radius = 0.145980967201976 }
{ ObjectIndex = 2239, Radius = 0.249679562416681 }
{ ObjectIndex = 2193, Radius = 0.117712642031279 }
{ ObjectIndex = 2716, Radius = 0.125378858773206 }
{ ObjectIndex = 2913, Radius = 0.125516722112514 }
{ ObjectIndex = 2973, Radius = 0.0962110459395704 }
{ ObjectIndex = 3335, Radius = 0.197206559202789 }
{ ObjectIndex = 3887, Radius = 0.10532985357252 }
{ ObjectIndex = 4085, Radius = 0.185245850361027 }
{ ObjectIndex = 4557, Radius = 0.0877902144027048 }
{ ObjectIndex = 5727, Radius = 0.117658773629021 }
{ ObjectIndex = 7605, Radius = 0.0430490763873906 }
{ ObjectIndex = 7608, Radius = 0.0550548954387657 }
{ ObjectIndex = 7619, Radius = 0.0368662670580189 }
{ ObjectIndex = 7622, Radius = 0.0411313456708682 }
{ ObjectIndex = 6947, Radius = 0.08906892840811 }
{ ObjectIndex = 7659, Radius = 0.035706630560811 }
{ ObjectIndex = 7735, Radius = 0.0576311951249632 }
{ ObjectIndex = 7753, Radius = 0.0579549024202255 }
{ ObjectIndex = 7805, Radius = 0.0440576551028503 }
{ ObjectIndex = 13516, Radius = 0.0547854315007726 }
{ ObjectIndex = 13554, Radius = 0.0587436847295192 }
{ ObjectIndex = 13577, Radius = 0.049547110976173 }
{ ObjectIndex = 13318, Radius = 0.0410800063714546 }
{ ObjectIndex = 13591, Radius = 0.048319830866225 }
{ ObjectIndex = 13327, Radius = 0.0388691389170846 }
{ ObjectIndex = 7475, Radius = 0.0549494223165573 }
{ ObjectIndex = 7508, Radius = 0.0469993444926568 }
{ ObjectIndex = 7518, Radius = 0.0335824276477891 }
{ ObjectIndex = 7549, Radius = 0.0617934781386228 }
{ ObjectIndex = 7555, Radius = 0.0642607964858226 }
{ ObjectIndex = 7568, Radius = 0.0449722906987006 }
{ ObjectIndex = 7570, Radius = 0.0613556624677311 }
{ ObjectIndex = 7577, Radius = 0.0375607309994689 }
{ ObjectIndex = 13363, Radius = 0.051679168599544 }
{ ObjectIndex = 13217, Radius = 0.0368662670580189 }
{ ObjectIndex = 13429, Radius = 0.0447135690295009 }
{ ObjectIndex = 13456, Radius = 0.0491373113819833 }
{ ObjectIndex = 13501, Radius = 0.0578125633916225 }
===== FindStandartObjects Ended at 11/16/2021 6:03:38 PM
