=====Started FindAllFeaturesByPhi at 4/19/2021 6:14:41 PM
Feature 054 	 R = 0.017477, MaxR = 
Feature 048 	 R = 0.016717, MaxR = 
Feature 056 	 R = 0.010638, MaxR = 
Feature 060 	 R = 0.007599, MaxR = 
Feature 058 	 R = 0.007599, MaxR = 
Feature 061 	 R = 0.019757, MaxR = 
Feature 065 	 R = 0.056991, MaxR = 
Feature 067 	 R = 0.039514, MaxR = 
Feature 073 	 R = 0.049392, MaxR = 
Feature 069 	 R = 0.040274, MaxR = 
Feature 071 	 R = 0.041033, MaxR = 
Feature 062 	 R = 0.017477, MaxR = 
Feature 066 	 R = 0.038754, MaxR = 
Feature 070 	 R = 0.038754, MaxR = 
Feature 068 	 R = 0.039514, MaxR = 
Feature 074 	 R = 0.092705, MaxR = 
Feature 000 	 R = 0.012918, MaxR = 
Feature 072 	 R = 0.044833, MaxR = 
Feature 075 	 R = 0.047872, MaxR = 
Feature 083 	 R = 0.537234, MaxR = 
Feature 079 	 R = 0.050912, MaxR = 0.537234
Feature 087 	 R = 0.983283, MaxR = 0.537234
Feature 050 	 R = 0.016717, MaxR = 0.983283
Feature 076 	 R = 0.116261, MaxR = 0.983283
Feature 084 	 R = 0.294833, MaxR = 0.983283
Feature 080 	 R = 0.101824, MaxR = 0.983283
Feature 077 	 R = 0.052432, MaxR = 0.983283
Feature 085 	 R = 0.346505, MaxR = 0.983283
Feature 081 	 R = 0.272036, MaxR = 0.983283
Feature 078 	 R = 0.143617, MaxR = 0.983283
Feature 086 	 R = 0.116261, MaxR = 0.983283
Feature 082 	 R = 0.054711, MaxR = 0.983283
	Found 0.9832826747720364741641337386 at index 87. Active features [63,64,45,90,88,89,87]
Feature 002 	 R = 0.009878, MaxR = 
Feature 007 	 R = 0.011398, MaxR = 
Feature 005 	 R = 0.011398, MaxR = 
Feature 003 	 R = 0.012918, MaxR = 
Feature 001 	 R = 0.015957, MaxR = 
Feature 006 	 R = 0.010638, MaxR = 
Feature 004 	 R = 0.009878, MaxR = 
Feature 009 	 R = 0.012918, MaxR = 
Feature 008 	 R = 0.009878, MaxR = 
Feature 010 	 R = 0.009878, MaxR = 
Feature 011 	 R = 0.012158, MaxR = 
Feature 012 	 R = 0.009878, MaxR = 
Feature 013 	 R = 0.010638, MaxR = 
Feature 015 	 R = 0.009878, MaxR = 
Feature 017 	 R = 0.009119, MaxR = 
Feature 016 	 R = 0.016717, MaxR = 
Feature 014 	 R = 0.011398, MaxR = 
Feature 018 	 R = 0.010638, MaxR = 
Feature 019 	 R = 0.010638, MaxR = 
Feature 022 	 R = 0.014438, MaxR = 
Feature 021 	 R = 0.012158, MaxR = 
Feature 020 	 R = 0.013678, MaxR = 
Feature 026 	 R = 0.011398, MaxR = 
Feature 023 	 R = 0.011398, MaxR = 
Feature 027 	 R = 0.012918, MaxR = 
Feature 024 	 R = 0.009119, MaxR = 
Feature 025 	 R = 0.009878, MaxR = 
Feature 028 	 R = 0.012918, MaxR = 
Feature 030 	 R = 0.011398, MaxR = 
Feature 032 	 R = 0.017477, MaxR = 
Feature 034 	 R = 0.010638, MaxR = 
Feature 036 	 R = 0.010638, MaxR = 
Feature 038 	 R = 0.009878, MaxR = 
Feature 044 	 R = 0.014438, MaxR = 
Feature 040 	 R = 0.011398, MaxR = 
Feature 042 	 R = 0.009119, MaxR = 
Feature 029 	 R = 0.010638, MaxR = 
Feature 037 	 R = 0.010638, MaxR = 
